family,level,compression,psnr,msssim
bior3.1,7,74.06593208174024,47.155770740070906,0.994241258472158
bior3.1,8,74.06441372252026,47.164340078780974,0.994246013406538
bior3.1,9,74.0705281961359,47.19784050160581,0.9942494390352365
bior3.1,10,74.06470097967,47.23851944093127,0.9943056583232759
bior3.3,1,74.02501845627188,52.30654496354117,0.9928008022209662
bior3.3,2,74.02440290523674,52.268844162729934,0.9928616314832404
bior3.3,3,74.04352602406148,52.63238268883923,0.9930978232795944
bior3.3,4,74.05509838352195,52.26449311899556,0.9931421191201691
bior3.3,5,74.06543964091215,51.971773866428556,0.9932131198246029
bior3.3,6,74.0633467673927,51.806457563261134,0.9933054742884069
bior3.3,7,74.07221070229859,51.72338227002774,0.9933986536029135
bior3.3,8,74.06076145304516,51.44700530940396,0.9934468257836293
bior3.3,9,74.06983057162941,51.17658730579276,0.9934652999705884
bior3.3,10,74.06580897153323,50.74372065934537,0.9933967648039068
bior3.5,1,74.02456705217944,52.767183186640054,0.993012315572298
bior3.5,2,74.03146122377291,52.70348566620261,0.9930305676914604
bior3.5,3,74.04762969762902,52.54039815935435,0.9931052302042536
bior3.5,4,74.06141804081597,52.48222471545879,0.9932345447143189
bior3.5,5,74.06465994293431,52.49832842102408,0.9933662051434142
bior3.5,6,74.06946124100834,52.58695116168873,0.9935157562966452
bior3.5,7,74.07065130634292,52.65321586880825,0.9936167067606652
bior3.5,8,74.06531653070512,52.492483604855146,0.9936334285104376
bior3.5,9,74.06712214707484,52.43164290463348,0.9937002703404396
bior3.5,10,74.06609622868295,51.954152825547034,0.9936296245273575
bior3.7,1,74.02768584409077,52.64844589315303,0.9928836652421916
bior3.7,2,74.0423359587269,52.38376996358001,0.992882118912252
bior3.7,3,74.06026901221705,52.42539667215239,0.9930426877571458
bior3.7,4,74.06642452256835,52.52784770622676,0.9932238025312392
bior3.7,5,74.07114374717104,52.617617088497184,0.9933939568276173
bior3.7,6,74.06749147769592,52.79267842552296,0.9935278350471565
bior3.7,7,74.07294936354076,52.900161528954825,0.9936310481590589
bior3.7,8,74.07479601664613,52.702724864788706,0.993670430236631
bior3.7,9,74.07791480855748,52.862862137067395,0.9937125305026873
bior3.7,10,74.0832085474596,52.56932754776089,0.9936873495220888
bior3.9,1,74.03228195848641,52.59461270800907,0.9928041519574485
bior3.9,2,74.04713725680091,52.3534049770406,0.9928342173897498
bior3.9,3,74.06314158371433,52.392687702107956,0.9930073959131445
bior3.9,4,74.07327765742615,52.50247624082846,0.9931981949101978
bior3.9,5,74.07212862882724,52.62204986976409,0.9933755671226567
bior3.9,6,74.07532949420992,52.77221246660815,0.9935259661098907
bior3.9,7,74.07036404919319,52.83892842174977,0.9936369367846618
bior3.9,8,74.07434461255372,52.694188530160474,0.9936514680559249
bior3.9,9,74.077217184051,52.829514892019816,0.9936554328686699
bior3.9,10,74.07565778809533,52.34019668801842,0.9936034458313978
bior4.4,1,72.62997462698632,49.87018797071521,0.9922792868116165
bior4.4,2,72.72099410671439,49.87235726057789,0.9924157287498193
bior4.4,3,73.04481498792904,49.90141870137283,0.9928421392366932
bior4.4,4,73.34828164824869,49.8762931740059,0.9934025644931624
bior4.4,5,73.598441588926,49.77018981266233,0.9938476983017803
bior4.4,6,73.76759501338003,49.53206712768831,0.994161583835768
bior4.4,7,73.89669658381487,49.179638113619475,0.9943718585688879
bior4.4,8,73.9720810672506,48.83518035621673,0.9945002350014219
bior4.4,9,73.9994115332104,48.53607376524659,0.994558722014888
bior4.4,10,74.01878087244921,48.22243881328195,0.9945816952213111
bior5.5,1,75.20158270482153,49.77212204581066,0.9918513469998367
bior5.5,2,75.09611829413572,49.72590903874858,0.9921788224124336
bior5.5,3,74.84361925952493,49.70505715021518,0.992613891832756
bior5.5,4,74.58631892684012,49.73794838719185,0.9930982928904465
bior5.5,5,74.40592143681101,49.8718563237139,0.9934467137712423
bior5.5,6,74.26651964572166,50.18056481938392,0.9937312320113019
bior5.5,7,74.18419995395679,50.66231446241752,0.9939233120533194
bior5.5,8,74.14948287557539,51.32791904886176,0.9940439166758785
bior5.5,9,74.12457357702041,52.09909881715212,0.9940871526850128
bior5.5,10,74.11460165025129,52.87298501804687,0.9941098687340595
bior6.8,1,72.62061825125234,49.8554208457339,0.9922122981568318
bior6.8,2,72.63387311687549,49.8401680222376,0.992282778957299
bior6.8,3,72.9347544628476,49.86994280369318,0.9926546446846647
bior6.8,4,73.24491011108233,49.8700792885446,0.9932308499410591
bior6.8,5,73.53220829754588,49.81284775611908,0.9937443961159881
bior6.8,6,73.72516302869165,49.65597920517463,0.9940811907118601
bior6.8,7,73.85767064818755,49.328073370517274,0.9943177681995794
bior6.8,8,73.95517393215232,48.9588501701004,0.9944658204725437
bior6.8,9,73.99165559016777,48.607614679779616,0.9945488525412987
bior6.8,10,74.0151286029741,48.25046756763983,0.9945790533135351
coif1,1,74.04393639141823,54.55331839055184,0.9934352634018367
coif1,2,74.05641155906356,55.39290074776581,0.9936707332974644
coif1,3,74.06207462858676,56.30786576734139,0.9939051539881868
coif1,4,74.06478305314134,57.189116104083645,0.9940950053037042
coif1,5,74.07697096363694,58.04678002548383,0.994241754902696
coif1,6,74.08058219637638,58.917088805996954,0.9943516128978553
coif1,7,74.07943316777747,59.69553579375761,0.9944267359934811
coif1,8,74.08197744538934,60.480393103409575,0.9944860143622269
coif1,9,74.0827161066315,61.129698128977545,0.9945253759948601
coif1,10,74.07898176368504,61.997499164347786,0.9945322276755604
coif2,1,74.04869665275659,55.186983790236205,0.9936047474766916
coif2,2,74.0650292735554,56.672816053668136,0.9939464509655022
coif2,3,74.0738521717256,58.142724826511845,0.994194285824263
coif2,4,74.07844828612126,59.4917289683184,0.994352136113663
coif2,5,74.08435757605851,60.78376646699104,0.994454042689212
coif2,6,74.08074634331908,61.819605755565874,0.9944981808944549
coif2,7,74.08341373113798,62.88920635314698,0.9945276537910557
coif2,8,74.08333165766663,64.16251303366757,0.9945919411032106
coif2,9,74.08197744538934,65.50788583957072,0.9946266673583561
coif2,10,74.08259299642447,66.87476508084738,0.9946382338634981
coif3,1,74.05608326517815,53.601927798152374,0.9931287949426807
coif3,2,74.06757355116727,54.59130794809873,0.9934635674411213
coif3,3,74.08033597596231,55.54319562991746,0.9937549883174837
coif3,4,74.08316751072392,56.48565840749296,0.9939858914382645
coif3,5,74.08817399247633,57.31286108034485,0.9941394191113803
coif3,6,74.08550660465743,58.05566972302046,0.9942298778784524
coif3,7,74.08349580460933,58.655790274410094,0.9942760035708489
coif3,8,74.08961027822497,59.17655009868783,0.9943609696998166
