family,level,compression,psnr,msssim,normalized_psnr,normalized_msssim,combined_score
bior5.5,4,74.58631892684012,49.73794838719185,0.9930982928904464,0.3692016990957668,0.6265137816765413,0.49785774038615405
bior5.5,5,74.40592143681101,49.8718563237139,0.9934467137712424,0.371921573295458,0.7077632983954312,0.5398424358454446
bior6.8,1,72.62061825125234,49.8554208457339,0.9922122981568318,0.3715877436982106,0.4199054872562777,0.39574661547724416
bior6.8,2,72.63387311687549,49.8401680222376,0.992282778957299,0.37127793561530276,0.43634115828391584,0.4038095469496093
bior6.8,3,72.9347544628476,49.86994280369318,0.9926546446846648,0.37188270678858676,0.5230578629881891,0.4474702848883879
bior6.8,4,73.24491011108233,49.8700792885446,0.9932308499410591,0.37188547900385405,0.6574252364531987,0.5146553577285264
bior6.8,5,73.53220829754588,49.81284775611908,0.993744396115988,0.3707230193879721,0.7771809136401547,0.5739519665140634
coif1,1,74.04393639141823,54.55331839055184,0.9934352634018369,0.46700920008693786,0.7050931456240858,0.5860511728555118
coif1,2,74.05641155906356,55.39290074776581,0.9936707332974644,0.48406239686684815,0.7600032163921563,0.6220328066295022
coif1,3,74.06207462858676,56.30786576734139,0.9939051539881868,0.5026467303649143,0.814668619299675,0.6586576748322946
coif1,4,74.06478305314134,57.189116104083645,0.9940950053037042,0.5205462672902691,0.8589407295101597,0.6897434984002144
coif1,5,74.07697096363694,58.04678002548383,0.994241754902696,0.5379667281860896,0.8931617956228739,0.7155642619044817
coif2,1,74.04869665275659,55.186983790236205,0.9936047474766916,0.4798799097446494,0.7446157458254135,0.6122478277850314
coif2,2,74.0650292735554,56.672816053668136,0.9939464509655022,0.5100594266824817,0.8242988097783817,0.6671791182304316
coif2,3,74.0738521717256,58.142724826511845,0.994194285824263,0.5399155132670072,0.8820923107143882,0.7110039119906977
coif2,4,74.07844828612126,59.4917289683184,0.994352136113663,0.5673158425967936,0.9189019866970451,0.7431089146469194
coif2,5,74.08435757605851,60.78376646699104,0.994454042689212,0.5935590926157698,0.9426659470972243,0.7681125198564971
coif3,1,74.05608326517815,53.60192779815237,0.9931287949426808,0.44768500771040753,0.6336266648003069,0.5406558362553573
coif3,2,74.06757355116727,54.59130794809873,0.9934635674411212,0.4677808258778593,0.7116934662127674,0.5897371460453134
coif3,3,74.08033597596231,55.54319562991746,0.9937549883174835,0.4871151148978113,0.7796509471540426,0.633383031025927
coif3,4,74.08316751072392,56.48565840749296,0.9939858914382644,0.5062579697537285,0.8334960752917985,0.6698770225227635
coif3,5,74.08817399247633,57.31286108034485,0.9941394191113804,0.5230597162837785,0.8692977448563415,0.69617873057006
coif4,1,74.0681891022024,50.214864847619445,0.9920121333457472,0.3788885989899452,0.3732283359684701,0.3760584674792077
coif4,2,74.11447854004426,49.72765783845283,0.9920242531364832,0.3689926823732118,0.37605459350442805,0.37252363793881993
coif4,3,74.12756925872472,49.472553953881,0.9922067000278838,0.36381113382643326,0.4186000394584518,0.39120558664244254
coif4,4,74.12531223826258,49.29130128644674,0.992453430544612,0.3601296160121514,0.4761360149090857,0.41813281546061853
coif4,5,74.11279603388157,49.16088688502846,0.9926665886234068,0.3574807008328233,0.5258431129660146,0.441661906899419
coif5,1,74.05460594269384,51.17169053089825,0.9922801644952508,0.39832318634260344,0.4357314824877639,0.4170273344151837
coif5,2,74.09379602526386,51.147140644662514,0.9923360393310868,0.3978245407513696,0.44876113615849816,0.4232928384549339
coif5,3,74.110087609327,51.21017114688984,0.9925118748204216,0.39910478627866486,0.48976484551667127,0.4444348158976681
coif5,4,74.11460165025129,51.30101273704935,0.9927428355662368,0.400949917372094,0.5436234114431643,0.4722866644076291
